cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
1ksz6nmx,0ac431a9a48289831c825c2b30f48bdf7f548995,PMC,Recombinant Live Vaccines to Protect Against the Severe Acute Respiratory Syndrome Coronavirus,10.1007/978-3-0346-0277-8_4,PMC7123558,,no-cc,"The severe acute respiratory syndrome (SARS) coronavirus (CoV) was identified as the etiological agent of an acute respiratory disease causing atypical pneumonia and diarrhea with high mortality. Different types of SARS-CoV vaccines, including nonreplicative and vectored vaccines, have been developed. Administration of these vaccines to animal model systems has shown promise for the generation of efficacious and safe vaccines. Nevertheless, the identification of side effects, preferentially in the elderly animal models, indicates the need to develop novel vaccines that should be tested in improved animal model systems. Live attenuated viruses have generally proven to be the most effective vaccines against viral infections. A limited number of SARS-CoV attenuating modifications have been described, including mutations, and partial or complete gene deletions affecting the replicase, like the nonstructural proteins (nsp1 or nsp2), or the structural genes, and drastic changes in the sequences that regulate the expression of viral subgenomic mRNAs. A promising vaccine candidate developed in our laboratory was based on deletion of the envelope E gene alone, or in combination with the removal of six additional genes nonessential for virus replication. Viruses lacking E protein were attenuated, grew in the lung, and provided homologous and heterologous protection. Improvements of this vaccine candidate have been directed toward increasing virus titers using the power of viruses with mutator phenotypes, while maintaining the attenuated phenotype. The safety of the live SARS-CoV vaccines is being increased by the insertion of complementary modifications in genes nsp1, nsp2, and 3a, by gene scrambling to prevent the rescue of a virulent phenotype by recombination or remodeling of vaccine genomes based on codon deoptimization using synthetic biology. The newly generated vaccine candidates are very promising, but need to be evaluated in animal model systems that include young and aged animals.",2010-07-07,"Enjuanes, Luis; Nieto-Torres, Jose L.; Jimenez-Guardeño, Jose M.; DeDiego, Marta L.",Replicating Vaccines,,,,document_parses/pdf_json/0ac431a9a48289831c825c2b30f48bdf7f548995.json,document_parses/pmc_json/PMC7123558.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123558/,
ypv2a9yr,1cc9f4a84cb9c7f9353d8d719f39fc2a2a587fbb,PMC,Lithium chloride inhibits the coronavirus infectious bronchitis virus in cell culture,10.1080/03079450601156083,PMC7154305,,no-cc,"The avian coronavirus infectious bronchitis virus (IBV) is a major economic pathogen of domestic poultry that, despite vaccination, causes mortality and significant losses in production. During replication of the RNA genome there is a high frequency of mutation and recombination, which has given rise to many strains of IBV and results in the potential for new and emerging strains. Currently the live-attenuated vaccine gives poor cross-strain immunity. Effective antiviral agents may therefore be advantageous in the treatment of IBV. Lithium chloride (LiCl) is a potent inhibitor of the DNA virus herpes simplex virus but not RNA viruses. The effect of LiCl on the replication of IBV was examined in cell culture using two model cell types; Vero cells, an African Green monkey kidney-derived epithelial cell line; and DF-1 cells, an immortalized chicken embryo fibroblast cell line. When treated with a range of LiCl concentrations, IBV RNA and protein levels and viral progeny production were reduced in a dose-dependent manner in both cell types, and the data indicated that inhibition was a cellular rather than a virucidal effect. Host cell protein synthesis still took place in LiCl-treated cells and the level of a standard cellular housekeeping protein remained unchanged, indicating that the effect of LiCl was specifically against IBV.",2007-05-02,"Harrison, Sally M.; Tarpey, Ian; Rothwell, Lisa; Kaiser, Pete; Hiscox, Julian A.",Avian Pathol,,,,document_parses/pdf_json/1cc9f4a84cb9c7f9353d8d719f39fc2a2a587fbb.json,document_parses/pmc_json/PMC7154305.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154305/,
lgrk3w7w,6e2b653fd92d873f33a2d7ac6523068d0c8d54c2,PMC,Characterization and Inhibition of the Main Protease of Severe Acute Respiratory Syndrome Coronavirus,10.1002/cben.201400031,PMC7159133,,no-cc,"The main protease of SARS‐associated coronavirus (SARS‐CoV), also called 3C‐like protease (3CL(pro)), is vital for the viral replication. It cleaves the replicase polyproteins at 11 sites and is a promising drug target. Several groups of inhibitors have been identified through high‐throughput screening and rational drug design. In addition to the pharmaceutical applications, a mutant 3CL(pro) (T25G) with an expanded S1′ space has been demonstrated to tolerate larger residues at P1′, facilitating the cleavage behind the recognition sequence. This review summarizes current developments in anti‐SARS agents targeting 3CL(pro) and the application of the mutant protease as a tag‐cleavage endopeptidase.",2015-02-25,"Kuo, Chih‐Jung; Liang, Po‐Huang",,,,,document_parses/pdf_json/6e2b653fd92d873f33a2d7ac6523068d0c8d54c2.json,document_parses/pmc_json/PMC7159133.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7159133/,
p9w9fwak,81586d26da397e7f054e891f0190ab6246b83c1b,PMC,CT radiomics can help screen the Coronavirus disease 2019 (COVID-19): a preliminary study,10.1007/s11432-020-2849-3,PMC7166002,,no-cc,"The Coronavirus disease 2019 (COVID-19) is raging across the world. The radiomics, which explores huge amounts of features from medical image for disease diagnosis, may help the screen of the COVID-19. In this study, we aim to develop a radiomic signature to screen COVID-19 from CT images. We retrospectively collect 75 pneumonia patients from Beijing Youan Hospital, including 46 patients with COVID-19 and 29 other types of pneumonias. These patients are divided into training set (n = 50) and test set (n = 25) at random. We segment the lung lesions from the CT images, and extract 77 radiomic features from the lesions. Then unsupervised consensus clustering and multiple cross-validation are utilized to select the key features that are associated with the COVID-19. In the experiments, while twenty-three radiomic features are found to be highly associated with COVID-19, four key features are screened and used as the inputs of support vector machine to build the radiomic signature. We use area under the receiver operating characteristic curve (AUC) and calibration curve to assess the performance of our model. It yields AUCs of 0.862 and 0.826 in the training set and the test set respectively. We also perform the stratified analysis and find that its predictive ability is not affected by gender, age, chronic disease and degree of severity. In conclusion, we investigate the value of radiomics in screening COVID-19, and the experimental results suggest the radiomic signature could be a potential tool for diagnosis of COVID-19.",2020-04-15,"Fang, Mengjie; He, Bingxi; Li, Li; Dong, Di; Yang, Xin; Li, Cong; Meng, Lingwei; Zhong, Lianzhen; Li, Hailin; Li, Hongjun; Tian, Jie",Sci,,,,document_parses/pdf_json/81586d26da397e7f054e891f0190ab6246b83c1b.json,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7166002/,
miadomgn,3ade9520daed6dc7fe43f54025c314e725a2b4c8,PMC,Public Policy and Constitutional Rights in Times of Crisis,10.1017/s0008423920000256,PMC7167486,,cc-by,"Federal and provincial policy responses to the COVID-19 pandemic raise a host of constitutional issues that decision makers must pay heed to or risk serious violations of individual rights under the Charter of Rights and Freedoms. This research note will examine a number of policy challenges as they relate to mobility rights (s. 6), legal rights (ss. 7 through 14), and equality rights (s. 15) and will articulate the factors that policy makers should consider in design and implementation. Other important constitutional questions, such as those relating to the division of powers, emergency powers and the relationship between the executive and Parliament, have also emerged in Canada but are beyond the scope of this note.",2020-04-07,"Macfarlane, Emmett",,,,,document_parses/pdf_json/3ade9520daed6dc7fe43f54025c314e725a2b4c8.json,document_parses/pmc_json/PMC7167486.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167486/,
t4ns3syl,db9f5edc106eee34c723a2e89cc38f091d08e34d,PMC,Pros and cons of the application of evolutionary theories to the evolution of SARS-CoV-2,10.2217/fvl-2020-0048,PMC7175784,,cc-by,"The outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has caused severe damage to the world. With the support of classic evolutionary theories and population genetics principles, many studies on the origin of SARS-CoV-2 have revealed encouraging results but meanwhile some are still under debate. We are concerned with the validity of applying classic evolutionary theories and formula to the evolution of RNA viruses. We have raised several confounding factors like the RNA replication feature and the RNA modification systems of the hosts, which might jeopardize the validity of the application of classic methods to analyze the SARS-CoV-2 data.",2020-04-17,"Li, Yue; Yang, Xinai; Wang, Na; Wang, Haiyan; Yin, Bin; Yang, Xiaoping; Jiang, Wenqing",,,,,document_parses/pdf_json/db9f5edc106eee34c723a2e89cc38f091d08e34d.json,document_parses/pmc_json/PMC7175784.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7175784/,
lk67yfrp,abf3228d9c0b99af5ca844cba84283090b2b58c4,PMC,In Silico Prediction of SARS Protease Inhibitors by Virtual High Throughput Screening,10.1111/j.1747-0285.2007.00475.x,PMC7188353,,no-cc,"A structure‐based in silico virtual drug discovery procedure was assessed with severe acute respiratory syndrome coronavirus main protease serving as a case study. First, potential compounds were extracted from protein–ligand complexes selected from Protein Data Bank database based on structural similarity to the target protein. Later, the set of compounds was ranked by docking scores using a Electronic High‐Throughput Screening flexible docking procedure to select the most promising molecules. The set of best performing compounds was then used for similarity search over the 1 million entries in the Ligand.Info Meta‐Database. Selected molecules having close structural relationship to a 2‐methyl‐2,4‐pentanediol may provide candidate lead compounds toward the development of novel allosteric severe acute respiratory syndrome protease inhibitors.",2007-04-24,"Plewczynski, Dariusz; Hoffmann, Marcin; Von Grotthuss, Marcin; Ginalski, Krzysztof; Rychewski, Leszek",Chem Biol Drug Des,,,,document_parses/pdf_json/abf3228d9c0b99af5ca844cba84283090b2b58c4.json,document_parses/pmc_json/PMC7188353.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188353/,
x1u70y1x,2186cc8d2832a4501406a4f597ae20f63df4fdac,PMC,Prevention and Control Strategies for SARS-CoV-2 Infection,10.1007/978-981-15-4814-7_11,PMC7189388,,no-cc,"The population of 168 countries all over the world is struggling with the outbreak of COVID-19. The outbreak is declared as pandemic and public health emergency of international concern declared by WHO. SARS-CoV-2 responsible for the present health emergency exhibited close resemblance with SARS-CoV. Both the viruses are zoonotic and belong to a large family of viruses Coronaviridae. The complete virus particle is made up of four major structural proteins, namely spikes (S), nucleocapsid (N), membrane (M), and envelope (E) encoded by virus genome. The S protein of virus shows similarity to S protein of SARS-CoV. COVID-19 spreads from person to person, and this makes it more vulnerable for causing infection. Several efforts are taken to find prevention strategies for COVID-19. Researchers across the globe are working to find effective vaccination for SARS-CoV-2. There is no vaccine or medication available till date for COVID-19. Preventive measures such as social distancing, awareness, maintenance of hygiene, isolation, and movement restrictions can help in control of COVID-19 spread. Proper sanitization and cleaned and sanitized public transport can be effective in inhibiting the spread of the virus. In the present situation of medical emergency, cooperation and support by following advices from the WHO and government only facilitate everyone to come over.",2020-04-30,"Srivastava, Nishant; Saxena, Shailendra K.",Coronavirus Disease 2019 (COVID-19),,,,document_parses/pdf_json/2186cc8d2832a4501406a4f597ae20f63df4fdac.json,document_parses/pmc_json/PMC7189388.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189388/,
tcrxm7jy,f3a6ff6adbf8e17a496b909ad46ddef3874ef20a,PMC,Transmission Cycle of SARS-CoV and SARS-CoV-2,10.1007/978-981-15-4814-7_4,PMC7189389,,no-cc,"Severe acute respiratory syndrome (SARS) is a pandemic that has shocked the world twice over the last two decades caused by a highly transmissible and pathogenic coronavirus (CoV). It causes disease in the lower respiratory tract in humans that was first reported in late 2002 in Guangdong province, China, and later on in December 2019 in Wuhan, China. The two viruses designated as SARS-CoV and SARS-CoV-2, respectively, originated probably from the bat and infected humans via carrier animals. The constant recombination and evolution in the CoV genome may have facilitated their cross-species transmission resulting in recurrent emergence as a pandemic. This chapter intends to accumulate recent findings related to CoV transmission and tentative molecular mechanisms governing the process.",2020-04-30,"Yadav, Tushar; Saxena, Shailendra K.",Coronavirus Disease 2019 (COVID-19),,,,document_parses/pdf_json/f3a6ff6adbf8e17a496b909ad46ddef3874ef20a.json,document_parses/pmc_json/PMC7189389.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189389/,
zv0ysi8m,f6a1e73ea49148dfae725e20501abeac994fe4ae,PMC,Current Insight into the Novel Coronavirus Disease 2019 (COVID-19),10.1007/978-981-15-4814-7_1,PMC7189397,,no-cc,"SARS-CoV-2 is a novel strain of coronavirus that has not been previously identified in humans. It has been declared a pandemic and has infected at least 1,844,683 individuals and caused 117,021 deaths as of 14th April 2020. Transmission among humans occurs via close contact with an infected individual that produces respiratory droplets. Patients have been shown to undergo acute respiratory distress syndrome, which is defined as cytokine storm. The diagnosis relies on detection of nucleic acid, IgG/IgM antibodies, and a chest radiograph of the suspected individuals. The genome of SARS-CoV-2 is similar to other coronaviruses that comprise of ten open reading frames (ORFs). SARS-CoV-2 spike protein exhibits higher affinity to ACE2 receptor as compared with SARS-CoV. Repurposing drugs like favipiravir, remdesivir, chloroquine, and TMPRSS2 protease inhibitors have been shown to be effective for the treatment of COVID-19. Personal protective measures should be followed to prevent SARS-CoV-2 infection. In addition, a clinical trial of SARS-CoV-2 vaccine, mRNA-1273, has been started. This chapter provides a glimpse of advancements made in the area of SARS-CoV-2 infection by proving recent clinical and research trials in the field.",2020-04-30,"Saxena, Shailendra K.; Kumar, Swatantra; Maurya, Vimal K.; Sharma, Raman; Dandu, Himanshu R.; Bhatt, Madan L. B.",Coronavirus Disease 2019 (COVID-19),,,,document_parses/pdf_json/f6a1e73ea49148dfae725e20501abeac994fe4ae.json,document_parses/pmc_json/PMC7189397.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189397/,
ym7ce5ux,bd3c4686ff01293c109830e50c327d5cb496e024,PMC,Preparing for the Perpetual Challenges of Pandemics of Coronavirus Infections with Special Focus on SARS-CoV-2,10.1007/978-981-15-4814-7_14,PMC7189398,,no-cc,"COVID-19, arising from novel, zoonotic coronavirus-2, has gripped the world in a pandemic. The present chapter discusses the current internationally implemented pandemic preparedness strategies succeeding/recommended to curb the COVID-19 threat to humankind. The updated phase-wise categorization of a pandemic as recommended by the WHO is described, and associated innovations in surveillance, response, and medical measures/advisory in practice across the globe are elaborated. From a bird’s eye view, the COVID-19 pandemic management relies on revolutionizing the disease surveillance by incorporating artificial intelligence and data analytics, boosting the response strategies—extensive testing, case isolation, contact tracing, and social distancing—and promoting awareness and access to pharmaceutical and non-pharmaceutical interventions, which are discussed in the present chapter. We also preview the economic bearing of the COVID-19 pandemic.",2020-04-30,"Chawla, Sonam; Saxena, Shailendra K.",Coronavirus Disease 2019 (COVID-19),,,,document_parses/pdf_json/bd3c4686ff01293c109830e50c327d5cb496e024.json,document_parses/pmc_json/PMC7189398.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189398/,
9q7zbmwp,050c5232dd292ccc50fe7294d91fb18b72ee6cc2,PMC,Therapeutic Development and Drugs for the Treatment of COVID-19,10.1007/978-981-15-4814-7_10,PMC7189400,,no-cc,"SARS-CoV-2/novel coronavirus (2019-nCoV) is a new strain that has recently been confirmed in Wuhan City, Hubei Province of China, and spreads to more than 165 countries of the world including India. The virus infection leads to 245,922 confirmed cases and 10,048 deaths worldwide as of March 20, 2020. Coronaviruses (CoVs) are lethal zoonotic viruses, highly pathogenic in nature, and responsible for diseases ranging from common cold to severe illness such as Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS) in humans for the past 15 years. Considering the severity of the current and previous outbreaks, no approved antiviral agent or effective vaccines are present for the prevention and treatment of infection during the epidemics. Although, various molecules have been shown to be effective against coronaviruses both in vitro and in vivo, but the antiviral activities of these molecules are not well established in humans. Therefore, this chapter is planned to provide information about available treatment and preventive measures for the coronavirus infections during outbreaks. This chapter also discusses the possible role of supportive therapy, repurposing drugs, and complementary and alternative medicines for the management of coronaviruses including COVID-19.",2020-04-30,"Maurya, Vimal K.; Kumar, Swatantra; Bhatt, Madan L. B.; Saxena, Shailendra K.",Coronavirus Disease 2019 (COVID-19),,,,document_parses/pdf_json/050c5232dd292ccc50fe7294d91fb18b72ee6cc2.json,document_parses/pmc_json/PMC7189400.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189400/,
